id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
2800,M,1.425,1.075,0.3625,22.01338675,8.3064035,5.68407475,6.6621325,10.0
2801,F,1.4375,1.125,0.3875,27.895908,13.4660125,6.76135575,7.7961125,10.0
2802,M,1.5625,1.225,0.425,37.83240775,18.1153305,8.49067525,9.02931575,11.0
2803,I,1.3,1.0,0.3125,17.236496,8.4198015,3.98310475,4.23825025,8.0
2804,M,1.4875,1.2,0.4375,32.375129,12.79979925,7.18659825,9.922325,10.0
2805,M,1.625,1.25,0.475,41.23434775,17.0097,9.015141,10.489315,13.0
2806,I,0.8125,0.6,0.1875,4.309124,2.0128145,1.020582,1.417475,9.0
2807,I,1.1,0.8875,0.3125,15.09610875,7.47009325,3.5436875,4.3941725,8.0
2808,I,0.725,0.525,0.175,3.16096925,1.360776,0.510291,0.7654365,5.0
2809,M,1.5625,1.2125,0.375,26.1098895,11.60912025,5.17378375,6.6054335,9.0
2810,F,1.45,1.0875,0.425,28.81726675,11.679994,6.22271525,8.788345,10.0
2811,F,1.25,1.0,0.3375,18.257078,7.6260155,4.53592,5.6699,12.0
2812,M,1.5,1.2,0.375,30.43318825,11.75086775,5.59902625,10.20582,17.0
2813,F,1.5625,1.2,0.3375,31.22697425,13.5794105,7.41339425,8.50485,9.0
2814,M,1.2625,0.975,0.3125,18.030282,9.31281075,3.78465825,4.139027,9.0
2815,F,1.6,1.3125,0.45,45.472598,20.2131935,9.5537815,12.757275,12.0
2816,F,1.5625,1.25,0.45,34.529691,14.118051,7.55514175,10.0640725,16.0
2817,F,1.45,1.1375,0.4125,27.68328675,9.8372765,5.159609,8.50485,12.0
2818,I,0.9,0.7,0.25,6.8322295,2.45223175,1.65844575,1.984465,7.0
2819,F,1.5625,1.2375,0.4375,34.45881725,16.4710595,7.767763,10.0640725,12.0
2820,I,0.7,0.525,0.15,2.608154,1.0489315,0.56699,0.850485,6.0
2821,M,1.3,1.0,0.3125,19.447757,9.525432,3.8838815,4.819415,9.0
2822,I,1.075,0.825,0.2875,10.41844125,4.706017,2.097863,3.40194,7.0
2823,F,0.9,0.675,0.2125,5.96756975,1.871067,0.75126175,1.70097,10.0
2824,M,1.2,0.95,0.3125,18.767369,7.144074,3.38776525,6.520385,12.0
2825,M,1.525,1.2125,0.4375,38.22930075,15.989118,7.01650125,11.29727575,15.0
2826,I,1.3125,1.0125,0.325,18.75319425,7.27164675,4.025629,6.3786375,9.0
2827,M,1.525,1.175,0.375,32.95629375,13.891255,7.15824875,8.221355,9.0
2828,F,1.5375,1.2625,0.3875,36.55668025,13.9763035,8.49067525,11.90679,14.0
2829,I,0.8125,0.6,0.1875,4.09650275,1.71514475,0.97805775,1.2757275,5.0
2830,M,1.6125,1.2125,0.375,33.38153625,11.75086775,8.051258,9.7805775,18.0
2831,I,0.7875,0.575,0.1875,5.2446575,2.324659,0.92135875,1.13398,5.0
2832,I,1.0375,0.775,0.2375,8.901743,4.55009475,1.80019325,2.4664065,7.0
2833,M,1.4875,1.2,0.375,31.70891575,15.37960375,6.59125875,9.02931575,10.0
2834,M,1.4875,1.1625,0.4,29.48348,12.57300325,6.30776375,8.50485,15.0
2835,I,1.175,0.8875,0.3125,13.777857,5.82582225,2.778251,3.685435,8.0
2836,M,1.6125,1.25,0.425,41.23434775,17.916884,9.241937,10.6310625,9.0
2837,F,1.6375,1.2875,0.475,38.03085425,16.612807,6.36446275,11.90679,10.0
2838,I,1.0625,0.8125,0.2625,10.4609655,4.1673765,2.48058125,2.87747425,7.0
2839,M,0.8375,0.65,0.2,4.86193925,2.0128145,1.077281,1.70097,6.0
2840,I,0.8375,0.5875,0.1875,4.32329875,1.644271,0.92135875,1.13398,6.0
2841,F,1.4375,1.125,0.375,24.79163775,11.94931425,5.40057975,6.7188315,8.0
2842,F,1.4375,1.0875,0.35,28.236102,12.28950825,5.20213325,7.7961125,9.0
2843,M,1.5125,1.1875,0.4,31.2694985,15.32290475,6.95980225,8.788345,12.0
2844,F,1.675,1.25,0.4875,40.25629,18.5122235,9.525432,10.3475675,11.0
2845,F,1.425,1.0875,0.35,24.67823975,10.47514025,4.3941725,6.80388,10.0
2846,F,1.675,1.3,0.475,42.48172575,17.690088,9.8372765,11.83591625,9.0
2847,I,1.125,0.9,0.275,12.99824575,6.0951425,2.83495,3.96893,6.0
2848,F,1.6,1.225,0.4125,30.900955,13.9763035,7.27164675,8.1930055,10.0
2849,M,1.4125,1.1,0.3625,24.50814275,11.8217415,6.19436575,6.23689,10.0
2850,M,1.4,1.1125,0.4125,25.51455,11.169703,5.3013565,7.37087,12.0
2851,F,1.65,1.275,0.5125,39.41997975,14.04717725,8.448151,11.623295,10.0
2852,I,1.05,0.7625,0.2625,9.8939755,3.75630875,1.74349425,2.324659,7.0
2853,M,1.125,0.875,0.325,12.54465375,5.6699,2.93417325,3.685435,9.0
2854,I,1.0875,0.8125,0.275,9.752228,4.0539785,2.08368825,2.6932025,7.0
2855,F,1.7,1.35,0.425,43.21881275,17.73261225,11.6516445,11.4815475,11.0
2856,I,1.0,0.775,0.2375,9.63883,3.912231,1.8994165,3.40194,8.0
2857,I,1.2125,0.925,0.3,15.762322,7.01650125,2.721552,4.9611625,8.0
2858,I,0.875,0.6625,0.2125,5.34388075,2.4097075,1.190679,1.5592225,7.0
2859,M,1.6375,1.2875,0.4375,40.83745475,18.0586315,9.87980075,12.0485375,14.0
2860,F,1.25,1.0,0.3125,19.57532975,9.015141,5.2446575,4.819415,9.0
2861,M,1.45,1.1625,0.4,33.8776525,11.80756675,6.80388,9.355335,15.0
2862,M,1.125,0.875,0.3375,13.437663,5.57067675,3.0333965,4.9611625,10.0
2863,F,1.325,1.025,0.3375,18.92329125,7.47009325,4.89028875,5.10291,11.0
2864,F,1.325,1.0375,0.325,19.15008725,6.9456275,4.025629,5.953395,12.0
2865,F,1.125,0.875,0.325,13.8062065,5.57067675,3.30271675,3.33106625,8.0
2866,I,1.2375,0.925,0.3,14.855138,5.613201,3.72795925,4.6776675,15.0
2867,M,1.775,1.3875,0.5,56.7840485,28.73221825,13.90542975,13.60776,12.0
2868,I,1.175,0.9375,0.2875,14.2030995,6.27941425,3.0333965,4.26659975,7.0
2869,F,1.15,0.8625,0.2875,12.54465375,5.3013565,2.36718325,3.5436875,8.0
2870,M,1.5875,1.2625,0.4,37.98833,17.519991,7.35669525,10.0640725,11.0
2871,I,1.1,0.85,0.2625,10.75863525,4.0539785,2.50893075,3.40194,8.0
2872,F,1.525,1.2625,0.4125,37.024447,15.4504775,8.63242275,9.355335,13.0
2873,M,1.7375,1.375,0.5125,49.0871593,20.751834,11.5949455,17.0097,20.0
2874,I,0.675,0.5125,0.1625,2.0695135,0.80796075,0.43941725,0.850485,5.0
2875,F,1.4375,1.125,0.3125,23.48756075,10.67358675,6.0951425,6.23689,10.0
2876,F,1.45,1.125,0.4625,24.79163775,8.63242275,5.783298,7.087375,21.0
2877,I,0.9625,0.725,0.2375,7.144074,3.35941575,1.7293195,2.26796,7.0
2878,M,1.4125,1.075,0.325,23.85610425,10.02154825,5.42892925,6.80388,10.0
2879,M,1.4875,1.1875,0.4,31.638042,11.679994,6.25106475,10.9145575,18.0
2880,M,1.6,1.2625,0.5125,37.1094955,15.52135125,7.98038425,12.40290625,19.0
2881,M,1.7375,1.325,0.4625,58.6551155,19.731252,10.20582,18.66814575,17.0
2882,F,1.3625,1.1,0.35,24.720764,11.169703,5.726599,7.087375,8.0
2883,F,1.5,1.2125,0.3875,26.01066625,11.04213025,6.463686,8.221355,12.0
2884,F,1.675,1.375,0.475,46.0112385,17.90270925,8.43397625,12.3887315,11.0
2885,M,1.45,1.175,0.4375,31.79396425,12.82814875,7.824462,9.6104805,11.0
2886,M,1.3,0.975,0.3125,19.220961,9.3269855,3.1467945,5.386405,8.0
2887,M,1.3375,1.0,0.375,20.0430965,9.31281075,4.40834725,5.6699,10.0
2888,F,1.1875,0.9125,0.3375,14.75591475,5.273007,2.96252275,7.087375,14.0
2889,M,1.3125,1.025,0.3375,26.12406425,9.241937,5.556502,7.7961125,16.0
2890,F,1.3,0.9625,0.3375,18.24290325,8.54737425,3.231843,4.6776675,10.0
2891,I,0.5875,0.3375,0.1625,1.80019325,0.97805775,0.226796,0.283495,4.0
2892,I,1.15,0.9125,0.2625,13.551061,6.02426875,2.891649,3.4869885,8.0
2893,I,1.2625,1.0,0.3375,20.6100865,8.15048125,4.74854125,5.2446575,8.0
2894,F,1.4375,1.1375,0.375,23.7285315,10.8011595,4.97533725,6.23689,9.0
2895,M,1.5125,1.175,0.3375,28.5479465,13.380964,5.59902625,7.37087,10.0
2896,F,1.625,1.275,0.4625,39.7743485,17.81766075,8.57572375,10.77281,11.0
2897,I,1.45,1.0875,0.3625,23.530085,11.69416875,5.556502,5.8116475,8.0
2898,I,1.1875,0.9625,0.3375,15.6205745,5.839997,3.2601925,5.386405,17.0
2899,M,1.6,1.2375,0.4125,39.972795,17.349894,8.60407325,11.056305,11.0
2900,M,1.5,1.225,0.475,32.2333815,12.60135275,6.08096775,10.0640725,14.0
2901,I,0.7875,0.575,0.1875,3.67126025,1.34660125,0.963883,1.09145575,5.0
2902,F,1.475,1.1875,0.4125,34.6147395,15.03940975,7.41339425,8.9300925,10.0
2903,F,1.4875,1.1375,0.3875,27.51318975,12.06271225,6.066793,8.06543275,10.0
2904,F,1.2625,0.975,0.3125,14.16057525,6.36446275,3.04757125,4.3941725,9.0
2905,F,1.4625,1.125,0.375,28.8314415,9.90815025,6.917278,7.7961125,12.0
2906,I,1.0,0.75,0.25,7.3425205,3.3735905,1.68679525,2.26796,8.0
2907,F,1.725,1.425,0.5125,52.34735175,21.98503725,12.47378,12.85649825,12.0
2908,I,1.2875,0.95,0.3125,16.42853525,7.030676,3.64291075,4.9611625,8.0
2909,M,1.6125,1.25,0.475,41.00755175,20.00057225,8.8166945,11.49572225,13.0
2910,M,1.225,0.9375,0.3,14.50076925,6.16601625,2.6932025,4.9611625,8.0
2911,M,1.625,1.2375,0.475,30.71668325,12.40290625,7.200773,11.3398,11.0
2912,M,1.6,1.225,0.5,37.194544,17.463292,8.60407325,10.886208,8.0
2913,F,1.475,1.075,0.35,24.36639525,11.38232425,5.03203625,6.80388,9.0
2914,M,1.75,1.375,0.575,56.9541455,23.0481435,11.26892625,16.0174675,10.0
2915,F,1.5,1.1875,0.3375,31.96406125,14.47241975,7.484268,9.4970825,8.0
2916,F,1.125,0.875,0.3625,12.813974,4.63514325,2.948348,5.2446575,14.0
2917,I,0.9375,0.7375,0.2125,7.35669525,3.04757125,1.587572,2.26796,8.0
2918,M,1.8,1.4375,0.5375,54.7995835,20.68096025,10.9712565,14.3164975,12.0
2919,I,0.6125,0.5125,0.1625,2.16873675,0.963883,0.396893,0.56699,6.0
2920,I,1.1,0.85,0.2625,10.77281,3.798833,2.3530085,3.40194,9.0
2921,I,0.9625,0.725,0.2625,8.06543275,3.75630875,1.60174675,2.324659,7.0
2922,M,1.2125,0.925,0.325,16.7120303,7.711064,3.7704835,4.3941725,8.0
2923,M,1.225,0.95,0.3375,17.7751365,6.6054335,4.55009475,5.2446575,11.0
2924,I,0.75,0.575,0.175,3.0900955,1.247378,0.77961125,0.850485,5.0
2925,F,1.625,1.375,0.45,47.10269425,19.5328055,10.9145575,15.025235,10.0
2926,M,1.5375,1.1875,0.3625,29.823674,11.7650425,6.27941425,10.61688775,13.0
2927,F,1.6125,1.275,0.45,41.91473575,16.96717575,8.03708325,12.4454305,12.0
2928,I,0.9375,0.7125,0.25,7.144074,2.96252275,1.7293195,2.26796,6.0
2929,M,1.0625,0.8375,0.2625,11.0846545,4.66349275,2.22543575,3.685435,10.0
2930,I,1.0625,0.825,0.2625,10.035723,4.9044635,2.08368825,2.9766975,7.0
2931,I,1.325,0.95,0.3375,21.64484325,13.4660125,4.72019175,5.8116475,11.0
2932,I,0.7375,0.55,0.1875,3.67126025,1.2757275,0.56699,0.9922325,7.0
2933,F,1.5625,1.225,0.575,38.55532,14.84096325,7.32834575,13.891255,11.0
2934,M,1.7,1.35,0.4875,50.745605,22.80717275,9.65300475,14.0330025,11.0
2935,M,1.55,1.1875,0.4,33.40988575,13.79203175,7.427569,9.4970825,17.0
2936,I,1.525,1.2125,0.4125,30.40483875,14.16057525,6.90310325,8.9300925,11.0
2937,I,1.325,1.05,0.325,20.6667855,10.262519,4.46504625,5.273007,8.0
2938,M,1.725,1.375,0.5375,44.21104525,20.70930975,10.19164525,13.324265,11.0
2939,M,1.525,1.1625,0.375,27.08794725,11.0846545,6.973977,6.520385,9.0
2940,M,1.2875,1.0,0.3375,19.447757,6.27941425,4.15320175,6.6621325,14.0
2941,F,1.6375,1.2875,0.475,34.699788,15.46465225,7.52679225,10.20582,11.0
2942,I,1.375,1.05,0.375,21.72989175,10.432616,4.63514325,5.953395,11.0
2943,F,1.4125,1.1,0.4125,25.2027055,10.262519,6.16601625,6.520385,9.0
2944,F,1.5125,1.2,0.3875,32.16250775,10.21999475,6.90310325,9.355335,13.0
2945,M,1.525,1.175,0.3625,26.86115125,11.97766375,5.34388075,7.654365,12.0
2946,I,0.775,0.575,0.1875,3.6003865,1.48834875,0.86465975,1.13398,5.0
2947,M,1.675,1.3125,0.45,42.013959,17.3215445,10.36174225,11.9351395,15.0
2948,F,1.325,1.0375,0.325,19.74542675,9.85145125,4.1106775,5.5281525,9.0
2949,F,1.3625,1.075,0.35,23.91280325,12.303683,5.216308,5.2446575,9.0
2950,I,1.3125,1.0,0.2875,14.5999925,6.64795775,3.061746,3.78465825,8.0
2951,F,1.6,1.25,0.375,35.096681,14.50076925,8.2497045,9.07184,15.0
2952,F,1.325,1.05,0.375,21.659018,7.10154975,5.273007,8.221355,9.0
2953,I,1.2125,0.925,0.3125,15.77649675,6.8322295,3.231843,4.9611625,9.0
2954,I,1.0125,0.75,0.25,8.12213175,3.47281375,1.68679525,2.4097075,7.0
2955,M,1.325,1.0125,0.325,21.0069795,9.2135875,5.42892925,5.953395,8.0
2956,I,1.45,1.1375,0.3625,30.674159,14.628342,6.19436575,7.93786,11.0
2957,M,1.5625,1.2375,0.4625,34.699788,17.519991,7.64019025,9.07184,10.0
2958,M,1.65,1.2625,0.475,46.42230625,21.2337755,10.19164525,12.8990225,12.0
2959,F,1.375,1.0625,0.35,23.09066775,10.33339275,4.932813,7.66853975,9.0
2960,I,1.3,1.025,0.3125,16.9813505,6.6621325,4.7910655,5.54232725,11.0
2961,F,1.3375,1.0,0.3375,21.5172705,9.6671795,5.613201,5.0178615,9.0
2962,F,1.8375,1.425,0.5375,60.6962795,22.69377475,12.643877,14.8834875,16.0
2963,M,1.5625,1.25,0.475,38.782116,16.3009625,6.98815175,10.0640725,15.0
2964,M,1.5625,1.2,0.4125,33.4807595,13.87708025,7.37087,8.9300925,15.0
2965,F,1.4,1.1125,0.35,19.74542675,8.17883075,4.63514325,5.6699,8.0
2966,M,1.175,0.9,0.3,13.93377925,5.96756975,2.90582375,3.8271825,9.0
2967,F,1.4,1.075,0.35,24.7491135,8.63242275,5.556502,7.087375,15.0
2968,I,1.2375,0.975,0.3,16.499409,7.10154975,3.5436875,4.29494925,8.0
2969,I,1.1875,0.925,0.3125,14.004653,6.10931725,2.7499015,4.3941725,10.0
2970,I,1.3125,1.0875,0.375,22.849697,10.78698475,4.819415,6.3786375,9.0
2971,F,1.65,1.225,0.4125,33.55163325,13.31009025,7.98038425,8.94426725,10.0
2972,F,1.5125,1.225,0.3625,26.308336,11.8784405,5.99591925,8.51902475,11.0
2973,F,1.525,1.1,0.3875,28.36367475,11.35397475,6.4353365,8.6465975,10.0
2974,M,1.2625,1.025,0.375,17.95940825,7.6260155,4.025629,6.6621325,9.0
2975,I,1.125,0.85,0.2625,11.283101,4.0539785,2.5798045,3.685435,8.0
2976,M,1.525,1.2375,0.375,30.43318825,10.829509,6.0951425,9.07184,11.0
2977,M,1.4125,1.1,0.3625,24.7491135,9.90815025,6.98815175,7.087375,11.0
2978,M,1.6,1.25,0.4,31.51046925,14.401546,6.633783,8.7599955,9.0
2979,M,1.05,0.7875,0.275,12.0485375,4.2807745,2.3530085,4.12485225,14.0
2980,F,1.1,0.8375,0.2625,11.963489,4.6209685,3.231843,3.96893,9.0
2981,M,1.55,1.1875,0.4125,34.62891425,15.15280775,7.2858215,8.7599955,10.0
2982,I,1.25,0.95,0.3375,18.92329125,6.95980225,3.55786225,5.2446575,14.0
2983,M,1.6125,1.2625,0.4625,37.32211675,14.2030995,7.29999625,11.623295,19.0
2984,M,1.3,1.025,0.4,21.6873675,7.314171,5.329706,7.2291225,11.0
2985,F,1.1125,0.875,0.3,12.60135275,4.9044635,2.83495,3.3168915,10.0
2986,I,1.1625,0.9375,0.3625,14.75591475,5.443104,3.50116325,4.9611625,11.0
2987,F,1.6125,1.25,0.475,42.2124055,13.7495075,7.27164675,15.025235,22.0
2988,F,1.4375,1.1875,0.3875,24.8058125,10.942907,4.83358975,7.5126175,12.0
2989,I,0.85,0.6375,0.1875,5.386405,2.16873675,1.3891255,1.5592225,6.0
2990,F,1.6625,1.3125,0.4625,46.67745175,20.97863,8.94426725,12.17611025,10.0
2991,M,1.5375,1.2375,0.3875,31.694741,12.1619355,5.6699,9.07184,13.0
2992,F,1.6375,1.2875,0.4125,37.7331845,16.05999175,6.36446275,11.4815475,11.0
2993,M,0.7,0.5375,0.1875,3.67126025,1.20485375,0.80796075,0.97805775,6.0
2994,M,1.2875,1.0,0.3125,18.83824275,8.63242275,3.9405805,4.77689075,10.0
2995,F,1.675,1.3125,0.425,41.39027,18.07280625,8.57572375,11.3398,10.0
2996,I,0.5125,0.3625,0.1375,1.304077,0.3118445,0.35436875,0.283495,3.0
2997,F,1.6,1.2,0.3875,32.36095425,16.08834125,6.67630725,8.9300925,10.0
2998,I,1.25,0.975,0.3375,17.53416575,7.654365,3.41611475,5.046211,8.0
2999,M,1.4,1.0375,0.45,22.5378525,9.87980075,4.9044635,7.2291225,10.0
3000,M,1.85,1.4375,0.55,53.08443875,26.80445225,11.60912025,13.4660125,12.0
3001,I,1.25,0.9375,0.3,17.53416575,7.257472,3.04757125,4.55009475,8.0
3002,M,1.1875,0.875,0.3375,13.891255,5.40057975,2.8066005,4.3941725,11.0
3003,I,1.3625,1.0,0.325,18.27125275,7.3425205,3.95475525,5.2446575,9.0
3004,F,1.3875,1.1,0.375,26.988724,12.3320325,4.86193925,7.7961125,14.0
3005,M,1.4375,1.125,0.3875,27.555714,11.3398,5.40057975,7.087375,13.0
3006,M,1.475,1.15,0.375,24.777463,12.20445975,6.1518415,6.23689,10.0
3007,F,1.5,1.1875,0.35,29.44095575,11.8784405,6.6054335,8.0796075,11.0
3008,M,1.575,1.2125,0.4125,33.8776525,14.8267885,6.7755305,10.489315,11.0
3009,I,0.675,0.5125,0.2125,2.99087225,1.077281,0.5386405,0.850485,7.0
3010,F,1.5875,1.2875,0.375,35.3518265,17.70426275,7.6827145,9.07184,9.0
3011,F,1.325,1.05,0.325,24.834162,11.736693,5.3013565,6.80388,9.0
3012,F,1.4,1.1375,0.4,25.51455,10.02154825,5.8683465,7.37087,11.0
3013,M,1.6,1.25,0.4625,38.22930075,16.726205,8.17883075,9.7805775,15.0
3014,M,1.6,1.275,0.4125,37.1094955,18.38465075,8.60407325,9.4970825,11.0
3015,I,0.8625,0.6625,0.225,5.85417175,2.211261,1.6159215,1.757669,6.0
3016,I,1.425,1.15,0.35,27.045423,13.99047825,4.932813,7.4559185,11.0
3017,I,0.9375,0.7125,0.2125,6.180191,2.6932025,1.077281,1.70097,6.0
3018,I,1.25,0.9875,0.325,17.50581625,8.09378225,3.7704835,4.6776675,9.0
3019,M,1.6125,1.2625,0.575,38.96638775,18.6256215,8.901743,10.3475675,11.0
3020,I,0.95,0.6875,0.2,6.80388,3.061746,1.4458245,2.4097075,7.0
3021,F,1.4125,1.125,0.3375,26.12406425,10.21999475,6.44951125,7.2291225,13.0
3022,M,1.55,1.2,0.45,36.3724085,17.0097,8.8166945,10.0640725,12.0
3023,M,1.4125,1.1375,0.4125,29.993771,9.87980075,5.45727875,9.922325,17.0
3024,I,1.2,0.95,0.3,14.798439,7.44174375,3.345241,4.53592,8.0
3025,F,1.575,1.275,0.45,38.42774725,15.57805025,9.015141,11.056305,8.0
3026,F,1.625,1.3,0.4625,38.14425225,14.35902175,8.29222875,11.963489,14.0
3027,F,1.625,1.25,0.4125,37.03862175,18.63979625,7.5693165,9.2135875,12.0
3028,F,1.425,1.125,0.425,17.7184375,6.3219385,4.53592,6.9456275,9.0
3029,F,1.625,1.25,0.4375,36.0889135,17.78931125,7.6827145,10.602713,10.0
3030,I,1.1,0.85,0.275,12.5021295,5.28718175,2.50893075,3.685435,8.0
3031,F,1.525,1.175,0.4,30.1355185,12.43125575,6.123492,8.9300925,12.0
3032,I,1.175,0.9375,0.3,15.23785625,6.2652395,3.0900955,4.819415,9.0
3033,M,1.1625,0.875,0.3125,13.437663,5.499803,2.721552,4.9611625,11.0
3034,F,1.6125,1.25,0.425,40.80910525,16.68368075,8.51902475,11.056305,15.0
3035,F,1.625,1.275,0.425,39.19318375,17.61921425,8.88756825,10.035723,11.0
3036,I,1.125,0.8625,0.2625,12.6722265,5.57067675,2.324659,3.40194,7.0
3037,M,1.35,1.0625,0.4125,23.43086175,10.2908685,4.422522,5.386405,10.0
3038,F,1.4375,1.125,0.4125,23.00561925,8.77417025,5.20213325,9.525432,12.0
3039,M,1.5125,1.175,0.425,37.0527965,18.01610725,7.10154975,7.93786,11.0
3040,M,1.475,1.1375,0.3875,30.1922175,12.23280925,5.8683465,8.9300925,11.0
3041,F,1.525,1.25,0.4,28.179403,11.4248485,5.68407475,10.0640725,11.0
3042,I,0.925,0.6875,0.225,6.16601625,2.721552,1.6159215,1.984465,7.0
3043,I,1.375,1.0375,0.325,21.72989175,9.6104805,4.7343665,5.953395,12.0
3044,I,1.1,0.875,0.3125,12.7289255,6.293589,2.33883375,4.252425,8.0
3045,M,1.675,1.375,0.4375,45.20327775,19.27766,8.7599955,13.324265,11.0
3046,I,1.175,0.9375,0.25,14.118051,6.73300625,2.36718325,3.8271825,8.0
3047,F,1.7625,1.375,0.5,47.86813075,20.68096025,9.525432,13.33843975,13.0
3048,I,0.725,0.5,0.1875,3.64291075,1.360776,0.58116475,0.850485,5.0
3049,M,1.2875,0.9875,0.35,17.7184375,6.73300625,3.061746,6.6621325,15.0
3050,F,1.525,1.1875,0.4,29.8520235,13.5227115,6.7755305,8.1363065,12.0
3051,I,1.2125,0.9375,0.3125,17.56251525,7.1724235,3.96893,5.2446575,8.0
3052,M,1.5125,1.225,0.4125,32.2900805,15.1102835,6.64795775,8.6465975,13.0
3053,F,1.4125,1.0875,0.4,26.20911275,11.453198,6.59125875,7.2291225,11.0
3054,I,0.9875,0.75,0.2625,8.618248,4.46504625,2.26796,2.324659,7.0
3055,F,1.4,1.1125,0.4375,27.08794725,11.5382465,5.726599,7.2291225,10.0
3056,I,1.1,0.85,0.3,10.3475675,4.5075705,2.26796,2.9766975,8.0
3057,I,1.25,1.0,0.3375,19.43358225,9.468733,4.4508715,5.8116475,8.0
3058,I,0.425,0.3375,0.125,0.5953395,0.21262125,0.12757275,0.1417475,5.0
3059,F,1.5125,1.2,0.4125,32.6869735,13.834556,7.10154975,8.7599955,9.0
3060,I,1.3125,1.0375,0.3,16.2442635,7.81028725,3.75630875,4.6776675,8.0
3061,I,1.375,1.0625,0.35,20.3265915,9.90815025,4.5075705,5.216308,8.0
3062,M,1.5125,1.1875,0.3875,30.1922175,14.84096325,6.44951125,10.20582,10.0
3063,I,1.075,0.8,0.25,10.6310625,4.5075705,1.814368,2.9766975,9.0
3064,M,0.8,0.6125,0.2,4.819415,1.871067,1.11980525,1.48834875,6.0
3065,M,1.475,1.1875,0.4125,33.83512825,15.989118,6.93145275,7.86698625,10.0
3066,F,1.625,1.3125,0.475,39.745999,17.690088,8.32057825,10.3475675,9.0
3067,M,1.4,1.125,0.3875,22.75047375,9.28446125,5.556502,6.23689,8.0
3068,M,1.6875,1.3125,0.4,39.405805,19.54698025,8.51902475,11.3398,10.0
3069,I,1.4125,1.1,0.325,21.8007655,9.87980075,5.11708475,6.520385,10.0
3070,F,1.5,1.1875,0.3625,29.44095575,11.32562525,6.56290925,9.2135875,9.0
3071,I,1.4375,1.1,0.4625,27.91008275,9.8372765,5.2446575,8.0796075,16.0
3072,M,1.25,0.9625,0.35,19.107563,8.32057825,3.4869885,5.5281525,9.0
3073,M,1.8,1.4375,0.5,49.0871593,20.87940675,10.70193625,14.74174,18.0
3074,M,1.125,0.8875,0.3,13.8062065,5.76912325,2.56562975,4.53592,12.0
3075,M,1.675,1.3125,0.45,43.6865795,19.6462035,10.77281,12.3887315,11.0
3076,I,1.125,0.8375,0.3,12.5588285,5.03203625,2.2963095,3.8271825,9.0
3077,M,1.6125,1.2125,0.4,36.0174675,17.08057375,7.767763,8.9300925,12.0
3078,I,0.45,0.325,0.075,0.89300925,0.35436875,0.226796,0.29766975,4.0
3079,F,1.325,1.0125,0.35,18.10115575,8.63242275,3.50116325,4.9611625,9.0
3080,M,1.4,1.075,0.325,20.08562075,9.70970375,4.3941725,5.5281525,9.0
3081,M,1.5375,1.225,0.4125,31.79396425,15.6772735,5.443104,8.77417025,13.0
3082,M,1.675,1.35,0.425,34.529691,15.4504775,6.39281225,10.0640725,10.0
3083,F,1.5,1.1625,0.375,29.97959625,9.19941275,5.8683465,9.7805775,16.0
3084,F,1.5,1.175,0.375,29.48348,13.42348825,6.08096775,8.221355,9.0
3085,F,1.6125,1.2625,0.425,39.179009,17.8885345,9.128539,10.56018875,10.0
3086,I,0.9375,0.7125,0.2375,6.10931725,2.50893075,1.54504775,1.984465,8.0
3087,M,1.5625,1.25,0.4125,32.6302745,15.5071765,6.5487345,8.6465975,12.0
3088,M,1.5125,1.1875,0.4125,29.596878,11.18387775,6.22271525,8.221355,11.0
3089,I,1.175,0.9,0.25,12.48795475,5.329706,2.778251,3.685435,9.0
3090,I,0.4625,0.325,0.0,0.75126175,0.2551455,0.1417475,0.2551455,4.0
3091,M,1.475,1.1875,0.4125,29.937072,12.34620725,6.90310325,8.788345,9.0
3092,I,0.5125,0.375,0.125,1.31825175,0.4819415,0.340194,0.4252425,5.0
3093,F,1.375,1.0625,0.35,23.57260925,11.97766375,5.0178615,6.80388,9.0
3094,F,1.4875,1.15,0.4125,28.44872325,13.834556,5.00368675,6.80388,10.0
3095,F,1.525,1.2,0.375,30.8726055,10.5176645,7.654365,8.788345,9.0
3096,F,1.4375,1.125,0.35,25.3728025,13.42348825,5.0745605,6.80388,9.0
3097,M,1.1375,0.8375,0.2875,12.6722265,5.54232725,2.96252275,3.118445,12.0
3098,I,0.925,0.725,0.2125,6.2652395,2.721552,1.54504775,1.984465,6.0
3099,I,1.3,1.0,0.35,20.87940675,10.432616,4.762716,5.10291,7.0
3100,F,1.4375,1.125,0.375,26.70658925,11.736693,5.59902625,7.37087,9.0
3101,I,1.2875,0.975,0.3125,16.68368075,7.654365,3.27436725,4.819415,11.0
3102,M,1.425,1.1625,0.4125,29.1149365,14.0897015,6.917278,8.3631025,10.0
3103,I,1.025,0.7875,0.225,9.45455825,4.252425,1.43164975,2.6932025,6.0
3104,M,1.275,1.0,0.35,16.45688475,6.973977,3.72795925,5.5281525,13.0
3105,F,1.6125,1.25,0.3875,32.88542,13.7495075,6.19436575,10.489315,14.0
3106,F,1.1875,1.0625,0.4125,24.5223175,8.51902475,5.2446575,7.7961125,11.0
3107,I,1.55,1.2125,0.4,29.1149365,14.33067225,6.010094,8.221355,11.0
3108,I,0.4,0.2875,0.0875,0.5953395,0.21262125,0.09922325,0.1417475,4.0
